epoch,train_loss,val_loss,psnr,ssim,lr
1,257.9724182128906,39.91226100921631,tensor(0.5461),tensor(52.7650),0.0001
2,109.1686019897461,29.45282917022705,tensor(0.5978),tensor(45.4152),0.0001
3,69.22891006469726,18.59764347076416,tensor(0.7361),tensor(32.5101),0.0001
4,60.01132659912109,18.669550275802614,tensor(0.7342),tensor(32.1438),0.0001
5,54.654727935791016,18.171087217330932,tensor(0.7651),tensor(30.5204),0.0001
6,47.38557586669922,16.88351526260376,tensor(0.7920),tensor(29.0236),0.0001
7,43.912706756591795,16.20786385536194,tensor(0.8041),tensor(28.1348),0.0001
8,39.36249618530273,16.064857649803162,tensor(0.8146),tensor(27.6917),0.0001
9,36.44572219848633,15.679936528205872,tensor(0.8271),tensor(27.1155),0.0001
10,35.00941505432129,15.493542242050172,tensor(0.8375),tensor(26.7866),0.0001
11,34.28110046386719,15.294653224945069,tensor(0.8438),tensor(26.4462),0.0001
12,33.44242630004883,15.161033296585083,tensor(0.8477),tensor(26.1842),0.0001
13,32.536567306518556,15.06396713256836,tensor(0.8493),tensor(26.0114),0.0001
14,31.452865219116212,14.995108222961425,tensor(0.8503),tensor(25.8919),0.0001
15,30.521947860717773,14.939528203010559,tensor(0.8516),tensor(25.7899),0.0001
16,29.943168258666994,14.878274583816529,tensor(0.8534),tensor(25.7036),0.0001
17,29.500662994384765,14.799750518798827,tensor(0.8551),tensor(25.5928),0.0001
18,28.84851837158203,14.75185842514038,tensor(0.8574),tensor(25.4919),0.0001
19,28.659246826171874,14.67781434059143,tensor(0.8585),tensor(25.4029),0.0001
20,28.86200866699219,14.623609828948975,tensor(0.8594),tensor(25.3019),0.0001
21,28.873291015625,14.569453716278076,tensor(0.8609),tensor(25.2024),0.0001
22,28.401433563232423,14.532299661636353,tensor(0.8630),tensor(25.0745),0.0001
23,28.089030838012697,14.454555249214172,tensor(0.8639),tensor(24.9594),0.0001
24,27.61207504272461,14.39771580696106,tensor(0.8644),tensor(24.8736),0.0001
25,26.52435188293457,14.348072338104249,tensor(0.8657),tensor(24.7729),0.0001
26,26.224436569213868,14.26402406692505,tensor(0.8666),tensor(24.5965),0.0001
27,25.741636657714842,14.230863118171692,tensor(0.8675),tensor(24.4986),0.0001
28,25.638453674316406,14.179667139053345,tensor(0.8695),tensor(24.3498),0.0001
29,25.02356719970703,14.084167075157165,tensor(0.8698),tensor(24.2330),0.0001
30,24.75533256530762,14.056427717208862,tensor(0.8690),tensor(24.2059),0.0001
31,24.53065719604492,13.957337427139283,tensor(0.8726),tensor(24.0100),0.0001
32,24.287156677246095,13.932938933372498,tensor(0.8735),tensor(23.8866),0.0001
33,24.379644012451173,13.86172375679016,tensor(0.8725),tensor(23.8051),0.0001
34,23.990636825561523,13.812103748321533,tensor(0.8762),tensor(23.7086),0.0001
35,23.539817810058594,13.744596529006959,tensor(0.8741),tensor(23.6141),0.0001
36,23.98162956237793,13.68918604850769,tensor(0.8767),tensor(23.5300),0.0001
37,23.176774978637695,13.61051185131073,tensor(0.8773),tensor(23.3449),0.0001
38,22.705234146118165,13.553704881668091,tensor(0.8792),tensor(23.1587),0.0001
39,22.51716537475586,13.563828277587891,tensor(0.8792),tensor(23.1446),0.0001
40,22.438335800170897,13.448766422271728,tensor(0.8810),tensor(22.9182),0.0001
41,22.682075881958006,13.369764828681946,tensor(0.8825),tensor(22.8177),0.0001
42,23.364859771728515,13.32750644683838,tensor(0.8812),tensor(22.7749),0.0001
43,23.794872283935547,13.2567688703537,tensor(0.8833),tensor(22.6880),0.0001
44,23.03827362060547,13.186167001724243,tensor(0.8847),tensor(22.5373),0.0001
